cell_latitude,cell_longitude,cases
51.125,123.125,0.00017201572214792498
51.125,123.375,0.00017201572214792498
51.125,123.625,0.00017201572214792498
51.125,123.875,0.00017201572214792498
51.125,124.125,0.00017201572214792498
51.125,124.375,0.00017201572214792498
51.125,124.625,0.00017201572214792498
51.125,124.875,0.00017201572214792498
51.125,125.125,0.00017201572214792498
51.125,125.375,0.00017201572214792498
51.125,125.625,0.00017201572214792498
51.125,125.875,0.00020601975312634711
51.125,126.125,0.0008507017986574861
51.125,126.375,0.00031026523293769837
51.125,126.625,0.00014048549168738705
51.125,126.875,0.00023793213045296416
50.875,119.625,0.00432539718371721
50.875,119.875,0.004415257972066709
50.875,120.125,0.004545614632322378
50.875,120.375,0.005064898568321245
50.875,120.625,0.006682059448941857
50.875,121.625,0.0005089953513796988
50.875,121.875,0.0007172463720646805
50.875,122.125,0.0007869696902406361
50.875,122.375,0.0003206652129203554
50.875,122.625,0.00019266585356059594
50.875,122.875,0.00017294571452945048
50.875,123.125,0.00017294571452945048
50.875,123.375,0.00017294571452945048
50.875,123.625,0.00017294571452945048
50.875,123.875,0.00017294571452945048
50.875,124.125,0.00017294571452945048
50.875,124.375,0.00017294571452945048
50.875,124.625,0.00017294571452945048
50.875,124.875,0.00017294571452945048
50.875,125.125,0.00017294571452945048
50.875,125.375,0.00017294571452945048
50.875,125.625,0.00017294571452945048
50.875,125.875,0.0019144536199666115
50.875,126.125,0.0028891111506662995
50.875,126.375,0.002231889376741048
50.875,126.625,0.0016763434676063257
50.875,126.875,0.0016763434676063257
50.875,127.125,0.0010999737827567097
50.625,119.375,0.004540161385384584
50.625,119.625,0.004438912934312042
50.625,119.875,0.004438912934312042
50.625,120.125,0.004438912934312042
50.625,120.375,0.004438912934312042
50.625,120.625,0.005297290591202059
50.625,120.875,0.007613750196786954
50.625,121.125,0.009933613069532474
50.625,121.375,0.012527646953991523
50.625,121.625,0.0009481091860445535
50.625,121.875,0.0009545748985606689
50.625,122.125,0.0008064460806492412
50.625,122.375,0.00019047180877610512
50.625,122.625,0.00017387232791305797
50.625,122.875,0.00017387232791305797
50.625,123.125,0.00017387232791305797
50.625,123.375,0.00017387232791305797
50.625,123.625,0.00017387232791305797
50.625,123.875,0.00017387232791305797
50.625,124.125,0.00017387232791305797
50.625,124.375,0.00017387232791305797
50.625,124.625,0.00017387232791305797
50.625,124.875,0.00017387232791305797
50.625,125.125,0.00017387232791305797
50.625,125.375,0.00017387232791305797
50.625,125.625,0.0007429562456779452
50.625,125.875,0.002618290891336927
50.625,126.125,0.0024779816129677635
50.625,126.375,0.0016853241763552609
50.625,126.625,0.0016853241763552609
50.625,126.875,0.0016853241763552609
50.625,127.125,0.0016853241763552609
50.375,119.375,0.004504116325317348
50.375,119.625,0.004497502759752624
50.375,119.875,0.004509837723644089
50.375,120.125,0.00446248519566172
50.375,120.375,0.00446248519566172
50.375,120.625,0.00446248519566172
50.375,120.875,0.00589325830617592
50.375,121.125,0.015518855648969628
50.375,121.375,0.015658164054658114
50.375,121.625,0.0009596432418468722
50.375,121.875,0.000651826514918942
50.375,122.125,0.00044114737704823993
50.375,122.375,0.00017748708773125828
50.375,122.625,0.00017479556229874746
50.375,122.875,0.00017479556229874746
50.375,123.125,0.00017479556229874746
50.375,123.375,0.00017479556229874746
50.375,123.625,0.00017479556229874746
50.375,123.875,0.00017479556229874746
50.375,124.125,0.00017479556229874746
50.375,124.375,0.00017479556229874746
50.375,124.625,0.00017479556229874746
50.375,124.875,0.00017479556229874746
50.375,125.125,0.00017479556229874746
50.375,125.375,0.0005422723372395364
50.375,125.625,0.0023980210656278744
50.375,125.875,0.0028171807252249195
50.375,126.125,0.0018570291429694332
50.375,126.375,0.001694273500763961
50.375,126.625,0.001694273500763961
50.375,126.875,0.001694273500763961
50.375,127.125,0.001694273500763961
50.125,119.375,0.005631184180017879
50.125,119.625,0.00592758419004861
50.125,119.875,0.005892596699010673
50.125,120.125,0.0053069139681511095
50.125,120.375,0.005463341459240364
50.125,120.625,0.005228265416382353
50.125,120.875,0.005536714696301374
50.125,121.125,0.014030367337638603
50.125,121.375,0.015740566725872096
50.125,121.625,0.015740566725872096
50.125,121.875,0.0007545675576599348
50.125,122.125,0.00018375036755392194
50.125,122.375,0.00022049635554904183
50.125,122.625,0.00017571541768651895
50.125,122.875,0.00017571541768651895
50.125,123.125,0.00017571541768651895
50.125,123.375,0.00017571541768651895
50.125,123.625,0.00017571541768651895
50.125,123.875,0.00017571541768651895
50.125,124.125,0.00017571541768651895
50.125,124.375,0.00017571541768651895
50.125,124.625,0.00017571541768651895
50.125,124.875,0.00017571541768651895
50.125,125.125,0.0002753857192741113
50.125,125.375,0.0021209678108812242
50.125,125.625,0.0025479794573210917
50.125,125.875,0.0027028353391755754
50.125,126.125,0.001704551074283962
50.125,126.375,0.001703189135767889
50.125,126.625,0.001703189135767889
50.125,126.875,0.001703189135767889
50.125,127.125,0.001703189135767889
50.125,127.375,0.0016920647169995136
49.875,118.625,0.0036441503760573767
49.875,118.875,0.0057274655651755714
49.875,119.125,0.006100323806284054
49.875,119.375,0.006135847600099882
49.875,119.625,0.006135847600099882
49.875,119.875,0.006135847600099882
49.875,120.125,0.006135847600099882
49.875,120.375,0.006135847600099882
49.875,120.625,0.006135847600099882
49.875,120.875,0.00887822684266363
49.875,121.125,0.015822668666556426
49.875,121.375,0.015822668666556426
49.875,121.625,0.015822668666556426
49.875,121.875,0.015821067276486
49.875,122.125,0.0009063671960368389
49.875,122.375,0.0007728924777325704
49.875,122.625,0.0001766318940763724
49.875,122.875,0.0001766318940763724
49.875,123.125,0.0001766318940763724
49.875,123.375,0.0001766318940763724
49.875,123.625,0.0001766318940763724
49.875,123.875,0.0001766318940763724
49.875,124.125,0.0001766318940763724
49.875,124.375,0.0001766318940763724
49.875,124.625,0.00022242054127253504
49.875,124.875,0.001491887788401451
49.875,125.125,0.0020356435057269947
49.875,125.375,0.0025611283669465905
49.875,125.625,0.002561269670495889
49.875,125.875,0.002956853451156549
49.875,126.125,0.0021158488816937016
49.875,126.375,0.0021144569773386473
49.875,126.625,0.0017175110336744414
49.875,126.875,0.001712073386431582
49.875,127.125,0.001712073386431582
49.875,127.375,0.0017076386195749886
49.625,116.625,0.0013417458928725368
49.625,116.875,0.01351905847148908
49.625,117.125,0.09984181857541291
49.625,117.375,0.08754820643533937
49.625,118.125,0.0016549318151032229
49.625,118.375,0.003043306789454257
49.625,118.625,0.004612093384097988
49.625,118.875,0.006167569658803286
49.625,119.125,0.006167569658803286
49.625,119.375,0.006167569658803286
49.625,119.625,0.006167569658803286
49.625,119.875,0.02827440872877457
49.625,120.125,0.009704824800832058
49.625,120.375,0.0061776441315468215
49.625,120.625,0.009657750448589623
49.625,120.875,0.01328316474538758
49.625,121.125,0.015904467370623347
49.625,121.375,0.015904467370623347
49.625,121.625,0.015904467370623347
49.625,121.875,0.013732097786148497
49.625,122.125,0.0006933453374732536
49.625,122.375,0.0002136273135541673
49.625,122.625,0.00017754499146830784
49.625,122.875,0.00017754499146830784
49.625,123.125,0.00017754499146830784
49.625,123.375,0.00017754499146830784
49.625,123.625,0.00017754499146830784
49.625,123.875,0.00017754499146830784
49.625,124.125,0.00017754499146830784
49.625,124.375,0.0013875073173069644
49.625,124.625,0.0020336099633436093
49.625,124.875,0.002210353057169647
49.625,125.125,0.0022276489187854336
49.625,125.375,0.0025513707425042593
49.625,125.625,0.0029721395752902078
49.625,125.875,0.0029721395752902078
49.625,126.125,0.0029721395752902078
49.625,126.375,0.0029721395752902078
49.625,126.625,0.0020237721921986577
49.625,126.875,0.002100245367904559
49.625,127.125,0.0023093147214133997
49.625,127.375,0.002427908518717151
49.625,127.625,0.0022476294212758455
49.375,116.625,0.00159311864878807
49.375,116.875,0.00159311864878807
49.375,117.125,0.00159311864878807
49.375,117.375,0.00159311864878807
49.375,117.625,0.09278616567141437
49.375,117.875,0.0018643291211592286
49.375,118.125,0.001864848606776488
49.375,118.375,0.00302215255551622
49.375,118.625,0.006199168919207079
49.375,118.875,0.006199168919207079
49.375,119.125,0.006199168919207079
49.375,119.375,0.006199168919207079
49.375,119.625,0.04937694566451488
49.375,119.875,0.27859300354336913
49.375,120.125,0.21480748180276701
49.375,120.375,0.16235115575806608
49.375,120.625,0.04822183970009926
49.375,120.875,0.015985955319809623
49.375,121.125,0.015985955319809623
49.375,121.375,0.015985955319809623
49.375,121.625,0.015985955319809623
49.375,121.875,0.009276409100457045
49.375,122.125,0.0029117832560077352
49.375,122.375,0.0001784547098623253
49.375,122.625,0.0001784547098623253
49.375,122.875,0.000429245010472858
49.375,123.125,0.0008594814496530236
49.375,123.375,0.00021190433179761023
49.375,123.625,0.0001784547098623253
49.375,123.875,0.0004901191938739842
49.375,124.125,0.0013899921095032188
49.375,124.375,0.0019923170728773612
49.375,124.625,0.0022216788438275646
49.375,124.875,0.002251974631978829
49.375,125.125,0.0022990517525174553
49.375,125.375,0.002573119201831099
49.375,125.625,0.0029873671862471573
49.375,125.875,0.0029873671862471573
49.375,126.125,0.0029873671862471573
49.375,126.375,0.0029806452634318576
49.375,126.625,0.002942124088764912
49.375,126.875,0.002547557326328237
49.375,127.125,0.0025235509657383273
49.375,127.375,0.0025235509657383273
49.375,127.625,0.002066477945563601
49.375,127.875,0.0007257809538248942
49.375,128.125,0.0006317391081557019
49.375,128.375,0.0006317352072772546
49.375,128.625,0.0006313575313184949
49.375,128.875,0.0006149834167233567
49.375,129.125,0.0006615169957210269
49.375,129.375,0.0009519721494021554
49.125,87.625,6.348988993283875e-05
49.125,116.375,0.0015727783131313305
49.125,116.625,0.0016012096560173476
49.125,116.875,0.0016012096560173476
49.125,117.125,0.0016012096560173476
49.125,117.375,0.0008839102125009429
49.125,117.625,0.00013760373783457477
49.125,117.875,0.0012530369771590383
49.125,118.125,0.001713103334768092
49.125,118.375,0.0021200522880123734
49.125,118.625,0.005899222795014133
49.125,118.875,0.006230652899574504
49.125,119.125,0.006230775697874114
49.125,119.375,0.0076604310932530855
49.125,119.625,0.012839479452369192
49.125,119.875,0.03789758519080453
49.125,120.125,0.03518735153577346
49.125,120.375,0.023396461800302845
49.125,120.625,0.011265360628805853
49.125,120.875,0.015683961721927257
49.125,121.125,0.016067140032378496
49.125,121.375,0.016067140032378496
49.125,121.625,0.016067140032378496
49.125,121.875,0.015283100456332141
49.125,122.125,0.0033093064127236514
49.125,122.375,0.00420929515056732
49.125,122.625,0.0011798632875207095
49.125,122.875,0.0018723365363494868
49.125,123.125,0.0018957345610235738
49.125,123.375,0.0015643285888575604
49.125,123.625,0.0011421326288141179
49.125,123.875,0.001640051932200203
49.125,124.125,0.002232961625057435
49.125,124.375,0.002232961625057435
49.125,124.625,0.0022624725641468336
49.125,124.875,0.0025867749611443
49.125,125.125,0.0026008423438402405
49.125,125.375,0.0026008423438402405
49.125,125.625,0.003002538057153965
49.125,125.875,0.002994597996387171
49.125,126.125,0.002719188885502537
49.125,126.375,0.0026136949472753976
49.125,126.625,0.002595341314180919
49.125,126.875,0.0025910184316106995
49.125,127.125,0.0025705459122687176
49.125,127.375,0.0023177973589096792
49.125,127.625,0.0007758969577384263
49.125,127.875,0.0006349475806785944
49.125,128.125,0.0006349475806785944
49.125,128.375,0.0006349475806785944
49.125,128.625,0.0006349475806785944
49.125,128.875,0.0004243899890996929
49.125,129.125,0.00044631221893700533
49.125,129.375,0.000638214955959975
49.125,129.625,0.0008425600460534885
48.875,86.875,0.00015663252883009265
48.875,87.125,0.00011479687732556708
48.875,87.375,0.00010436904690062331
48.875,87.625,0.0001043678398151403
48.875,116.125,0.0012273190658214695
48.875,116.375,0.001609269554079069
48.875,116.625,0.001609269554079069
48.875,116.875,0.0015805271195174924
48.875,117.125,0.00045524481144713127
48.875,117.375,8.165894116960225e-05
48.875,117.625,0.001088823300717922
48.875,117.875,0.0018824906906593096
48.875,118.125,0.0018837537978239301
48.875,118.375,0.0018837537978239301
48.875,118.625,0.0033718307959272552
48.875,118.875,0.007922640548149474
48.875,119.125,0.00984349415414502
48.875,119.375,0.01056814446275945
48.875,119.625,0.01056814446275945
48.875,119.875,0.01056814446275945
48.875,120.125,0.01056814446275945
48.875,120.375,0.01056814446275945
48.875,120.625,0.01056814446275945
48.875,120.875,0.013929294312708363
48.875,121.125,0.01614802401441771
48.875,121.375,0.01614802401441771
48.875,121.625,0.01614802401441771
48.875,121.875,0.015862873832283925
48.875,122.125,0.015795522724079313
48.875,122.375,0.02536712139418522
48.875,122.625,0.0019052771583256676
48.875,122.875,0.0019052771583256676
48.875,123.125,0.0019052771583256676
48.875,123.375,0.0019052771583256676
48.875,123.625,0.002018952791920161
48.875,123.875,0.0022435240653675102
48.875,124.125,0.002244201400859257
48.875,124.375,0.002244201400859257
48.875,124.625,0.003933999861953316
48.875,124.875,0.005996580124719443
48.875,125.125,0.0034527076857768803
48.875,125.375,0.004041559509316208
48.875,125.625,0.0063551569043064455
48.875,125.875,0.006335946851080131
48.875,126.125,0.0026012475987754226
48.875,126.375,0.0026012475987754226
48.875,126.625,0.0026012475987754226
48.875,126.875,0.0026012475987754226
48.875,127.125,0.0026012475987754226
48.875,127.375,0.0023620191354893627
48.875,127.625,0.0006381438186281749
48.875,127.875,0.0006381438186281749
48.875,128.125,0.0004265263093721991
48.875,128.375,0.0004265263093721991
48.875,128.625,0.0004265263093721991
48.875,128.875,0.0004265263093721991
48.875,129.125,0.0005714538215680535
48.875,129.375,0.0012124310849124498
48.875,129.625,0.0013025758363202189
48.875,129.875,0.0008699233388016538
48.875,130.125,0.0006471279837384274
48.875,130.375,0.0005031764283518534
48.625,86.875,0.0001693516790960325
48.625,87.125,0.00011084732380227921
48.625,87.375,0.0001048898439322701
48.625,87.625,0.00012132573110896132
48.625,87.875,0.0001744089749670832
48.625,116.125,0.0015859910887299079
48.625,116.375,0.00161729909259173
48.625,116.625,0.00161729909259173
48.625,116.875,0.00161729909259173
48.625,117.125,0.0009636656849062942
48.625,117.375,0.0012918540968931426
48.625,117.625,0.0017419220430115675
48.625,117.875,0.0018931521397090524
48.625,118.125,0.0018931521397090524
48.625,118.375,0.0025316373117305465
48.625,118.625,0.0025316373117305465
48.625,118.875,0.006729319251677581
48.625,119.125,0.0106208750550472
48.625,119.375,0.0106208750550472
48.625,119.625,0.0106208750550472
48.625,119.875,0.0106208750550472
48.625,120.125,0.0106208750550472
48.625,120.375,0.0106208750550472
48.625,120.625,0.0106208750550472
48.625,120.875,0.013262845385933702
48.625,121.125,0.015758876202952764
48.625,121.375,0.01622858721722529
48.625,121.625,0.01622858721722529
48.625,121.875,0.01622858721722529
48.625,122.125,0.016531202324868946
48.625,122.375,0.0014364822421427126
48.625,122.625,0.0019784903213511543
48.625,122.875,0.0021375925005994827
48.625,123.125,0.0021375925005994827
48.625,123.375,0.0021375925005994827
48.625,123.625,0.0021375925005994827
48.625,123.875,0.002313887269121803
48.625,124.125,0.0031458580455192404
48.625,124.375,0.0027420628152384874
48.625,124.625,0.006163557829076252
48.625,124.875,0.007149078814634336
48.625,125.125,0.007149078814634336
48.625,125.375,0.007149078814634336
48.625,125.625,0.008324342407318103
48.625,126.125,0.0026142268852454827
48.625,126.375,0.0026142268852454827
48.625,126.625,0.002732744438106855
48.625,126.875,0.0026142268852454827
48.625,127.125,0.0017473123027695265
48.625,127.375,0.001740538084042329
